archivo,frame,angulo_rodilla_izquierda_kinovea,angulo_rodilla_izquierda_mediapipe,diferencia_rodilla_izquierda
36,6,171.325,164.072,7.253
36,7,179.896,172.092,7.804
36,8,176.792,171.977,4.815
36,9,175.774,178.056,-2.282
36,10,171.736,170.161,1.575
36,11,166.42,156.111,10.309
38,0,163.11,169.482,-6.372
38,1,161.116,166.293,-5.177
38,2,160.697,163.441,-2.744
38,3,155.386,155.664,-0.278
38,4,154.136,157.416,-3.28
38,5,156.582,160.198,-3.616
38,6,161.025,159.466,1.559
38,7,165.236,161.988,3.248
38,8,167.748,170.488,-2.74
38,9,174.086,177.637,-3.551
38,10,176.388,174.028,2.36
38,11,179.021,162.948,16.073
38,12,167.469,153.327,14.142
39,0,176.304,172.977,3.327
39,1,178.458,175.411,3.047
39,2,177.513,178.044,-0.531
39,3,176.064,175.959,0.105
39,4,174.181,173.746,0.435
39,5,176.558,170.78,5.778
39,6,171.615,166.881,4.734
39,7,168.597,163.233,5.364
39,8,166.594,162.134,4.46
39,9,166.712,160.643,6.069
39,10,166.745,160.993,5.752
39,11,165.708,161.9,3.808
40,0,172.501,168.309,4.192
40,1,174.121,172.517,1.604
40,2,175.073,176.714,-1.641
40,3,177.105,174.861,2.244
40,4,177.116,174.028,3.088
40,5,174.832,172.874,1.958
40,6,172.882,170.285,2.597
40,7,171.506,168.633,2.873
40,8,172.295,167.715,4.58
40,9,172.669,169.321,3.348
40,10,173.329,174.044,-0.715
41,0,176.584,167.729,8.855
41,1,178.68,171.447,7.233
41,2,177.369,173.439,3.93
41,3,179.208,179.751,-0.543
41,4,178.482,179.355,-0.873
41,5,179.052,179.995,-0.943
41,6,179.56,178.896,0.664
41,7,179.921,177.958,1.963
41,8,179.23,176.784,2.446
41,9,178.643,176.509,2.134
41,10,178.474,178.533,-0.059
41,11,175.4,179.127,-3.727
41,12,174.784,177.845,-3.061
42,0,176.198,169.438,6.76
42,1,177.51,169.118,8.392
42,2,174.849,167.974,6.875
42,3,171.689,167.595,4.094
42,4,171.808,167.411,4.397
42,5,172.67,167.659,5.011
42,6,172.594,168.322,4.272
42,7,173.723,171.451,2.272
42,8,174.144,176.024,-1.88
43,0,173.387,170.478,2.909
43,1,179.702,166.884,12.818
43,2,179.976,175.261,4.715
43,3,179.727,176.588,3.139
43,4,178.549,175.974,2.575
43,5,179.391,176.556,2.835
43,6,178.626,175.611,3.015
43,7,178.732,174.906,3.826
43,8,179.061,175.004,4.057
43,9,178.207,175.226,2.981
43,10,177.444,177.132,0.312
43,11,176.543,176.172,0.371
43,12,174.116,178.741,-4.625
45,1,170.293,176.776,-6.483
45,2,171.444,173.81,-2.366
45,3,172.907,168.669,4.238
45,4,171.061,166.463,4.598
45,5,173.213,165.401,7.812
45,6,175.354,167.932,7.422
45,7,175.913,169.464,6.449
45,8,176.566,169.717,6.849
45,9,174.726,170.24,4.486
46,1,175.36,173.121,2.239
46,2,173.634,170.956,2.678
46,3,172.546,171.92,0.626
46,4,171.658,170.188,1.47
46,5,175.541,169.133,6.408
46,6,175.862,168.945,6.917
46,7,176.472,168.873,7.599
46,8,179.013,171.249,7.764
46,9,178.99,173.407,5.583
