archivo,frame,angulo_rodilla_kinovea,angulo_rodilla_mediapipe,angulo_pie_kinovea,angulo_pie_mediapipe,diferencia_rodilla,diferencia_pie
29,8,179.202,174.858,68.277,73.896,4.344,-5.619
31,0,84.569,90.278,80.172,93.772,-5.709,-13.6
31,1,80.585,81.733,88.248,97.561,-1.148,-9.313
31,2,88.152,84.898,90.556,79.522,3.254,11.034
31,3,102.478,97.701,61.641,59.135,4.777,2.506
31,4,130.783,126.455,56.087,61.35,4.328,-5.263
31,5,153.798,148.651,65.375,63.398,5.147,1.977
31,6,172.696,165.164,71.895,80.897,7.532,-9.002
31,7,177.625,175.351,68.055,70.824,2.274,-2.769
31,8,172.76,178.14,64.863,45.327,-5.38,19.536
32,0,86.913,91.94,83.758,89.271,-5.027,-5.513
32,1,81.022,84.448,86.746,92.761,-3.426,-6.015
32,2,87.223,83.691,86.119,90.796,3.532,-4.677
32,3,93.7,91.48,87.369,72.832,2.22,14.537
32,4,118.77,117.946,70.536,57.696,0.824,12.84
32,5,147.136,144.059,77.998,75.305,3.077,2.693
32,6,159.062,159.917,72.045,80.913,-0.855,-8.868
32,7,179.52,175.758,77.294,80.841,3.762,-3.547
32,8,172.708,176.112,66.375,46.38,-3.404,19.995
32,9,174.586,172.897,58.799,41.592,1.689,17.207
32,10,179.489,178.145,62.18,47.801,1.344,14.379
33,0,79.492,83.809,87.218,98.478,-4.317,-11.26
33,1,78.218,77.783,83.802,84.418,0.435,-0.616
33,2,84.672,82.04,68.558,68.722,2.632,-0.164
33,3,104.423,100.389,62.661,60.469,4.034,2.192
33,4,136.005,131.776,70.65,65.71,4.229,4.94
33,5,153.362,151.996,66.671,73.838,1.366,-7.167
33,6,170.943,170.323,76.202,84.54,0.62,-8.338
33,7,179.325,174.567,76.396,102.201,4.758,-25.805
33,8,176.048,173.642,62.569,55.909,2.406,6.66
33,9,178.799,174.254,60.438,55.757,4.545,4.681
33,10,176.769,179.694,55.721,58.919,-2.925,-3.198
34,0,86.005,91.78,82.449,93.953,-5.775,-11.504
34,1,83.709,82.832,90.567,100.28,0.877,-9.713
34,2,83.428,79.619,92.849,81.82,3.809,11.029
34,3,96.264,89.685,69.807,66.129,6.579,3.678
34,4,126.572,116.113,61.719,64.226,10.459,-2.507
34,5,148.57,144.808,80.719,73.954,3.762,6.765
34,6,169.333,160.906,80.387,75.874,8.427,4.513
34,7,176.914,176.784,78.619,80.671,0.13,-2.052
34,8,169.219,178.75,68.65,68.665,-9.531,-0.015
34,9,174.894,174.899,53.958,40.392,-0.005,13.566
34,10,178.388,177.529,60.67,45.181,0.859,15.489
35,0,77.794,83.809,78.221,103.793,-6.015,-25.572
35,1,70.22,70.15,84.492,93.206,0.07,-8.714
35,2,73.159,66.993,84.413,72.455,6.166,11.958
35,3,83.482,80.412,70.233,68.344,3.07,1.889
35,4,113.086,116.344,60.626,62.024,-3.258,-1.398
35,5,144.139,140.075,76.239,67.479,4.064,8.76
35,6,157.863,156.754,68.697,72.238,1.109,-3.541
35,7,179.13,176.149,74.422,92.786,2.981,-18.364
36,0,86.905,93.87,86.975,97.872,-6.965,-10.897
36,1,79.7,84.019,92.141,91.299,-4.319,0.842
36,2,81.426,84.485,92.355,81.688,-3.059,10.667
36,3,93.063,95.673,75.261,72.187,-2.61,3.074
36,4,125.947,124.718,64.36,55.128,1.229,9.232
36,5,144.879,147.714,61.806,74.442,-2.835,-12.636
36,6,163.851,161.257,69.666,72.802,2.594,-3.136
36,7,178.454,175.812,76.646,80.069,2.642,-3.423
36,8,176.544,177.766,66.711,88.868,-1.222,-22.157
36,9,176.125,178.311,64.32,47.071,-2.186,17.249
36,10,178.028,177.898,68.338,42.155,0.13,26.183
38,0,97.546,104.215,100.603,95.51,-6.669,5.093
38,1,89.815,90.978,81.218,103.736,-1.163,-22.518
38,2,95.552,93.913,77.924,75.327,1.639,2.597
38,3,113.388,111.137,67.08,56.235,2.251,10.845
38,4,143.065,138.731,64.332,57.451,4.334,6.881
38,5,162.551,161.147,74.927,74.512,1.404,0.415
38,6,176.828,173.136,75.383,77.893,3.692,-2.51
38,7,175.251,177.577,72.641,64.389,-2.326,8.252
38,8,174.013,178.227,57.178,55.61,-4.214,1.568
38,9,177.641,179.529,63.595,53.56,-1.888,10.035
39,0,85.147,88.506,75.989,79.741,-3.359,-3.752
39,1,77.67,79.021,61.797,63.891,-1.351,-2.094
39,2,80.289,75.398,58.251,64.185,4.891,-5.934
39,3,94.906,117.009,57.563,176.205,-22.103,-118.642
39,4,115.836,125.142,63.476,58.44,-9.306,5.036
39,5,151.357,147.432,86.444,49.761,3.925,36.683
39,6,161.589,165.529,88.146,85.76,-3.94,2.386
40,0,80.474,86.257,66.32,60.854,-5.783,5.466
40,1,75.583,75.442,56.148,51.938,0.141,4.21
40,2,82.998,77.563,56.699,58.697,5.435,-1.998
40,3,103.509,106.469,58.775,46.641,-2.96,12.134
40,4,139.816,133.327,67.138,61.359,6.489,5.779
40,5,149.995,153.608,94.204,75.32,-3.613,18.884
40,6,163.843,165.45,91.059,83.744,-1.607,7.315
41,0,84.418,87.494,60.068,62.526,-3.076,-2.458
41,1,80.638,78.207,58.468,64.567,2.431,-6.099
41,2,85.077,79.511,56.832,58.78,5.566,-1.948
41,3,101.909,103.732,57.353,53.567,-1.823,3.786
41,4,130.686,137.268,78.652,50.977,-6.582,27.675
41,5,148.642,147.405,106.034,70.436,1.237,35.598
41,6,166.316,166.457,95.401,85.391,-0.141,10.01
42,0,83.587,84.497,63.46,55.393,-0.91,8.067
42,1,81.233,79.722,62.195,56.774,1.511,5.421
42,2,89.842,85.284,63.028,58.451,4.558,4.577
42,3,111.915,109.982,74.585,58.052,1.933,16.533
42,4,144.031,146.129,83.882,62.949,-2.098,20.933
43,0,80.482,86.723,57.853,66.109,-6.241,-8.256
43,1,73.131,74.499,69.514,50.281,-1.368,19.233
