archivo,frame,angulo_rodilla_kinovea,angulo_rodilla_mediapipe,angulo_pie_kinovea,angulo_pie_mediapipe,diferencia_rodilla,diferencia_pie
32,0,92.086,114.636,50.494,56.384,-22.55,-5.89
32,1,85.405,101.725,49.469,57.372,-16.32,-7.903
32,2,79.518,91.884,56.535,51.785,-12.366,4.75
32,3,77.434,86.057,54.665,53.222,-8.623,1.443
32,4,75.279,82.283,56.842,53.702,-7.004,3.14
32,5,75.662,69.991,54.641,51.533,5.671,3.108
32,6,74.762,76.15,49.282,52.824,-1.388,-3.542
33,0,120.383,143.04,72.761,65.509,-22.657,7.252
33,1,106.251,123.159,65.33,63.24,-16.908,2.09
33,2,96.876,111.634,67.375,62.623,-14.758,4.752
33,3,90.286,101.987,63.963,60.975,-11.701,2.988
33,4,86.346,96.119,60.681,56.797,-9.773,3.884
33,5,85.137,90.879,60.476,56.219,-5.742,4.257
33,6,86.419,92.366,61.616,52.083,-5.947,9.533
33,7,84.797,92.227,57.72,49.946,-7.43,7.774
33,8,83.043,92.457,60.205,49.904,-9.414,10.301
33,9,82.398,93.29,61.987,50.086,-10.892,11.901
33,10,81.29,96.418,61.978,49.432,-15.128,12.546
33,11,79.409,90.29,61.759,48.419,-10.881,13.34
33,12,77.723,85.847,63.756,46.118,-8.124,17.638
33,13,75.491,81.435,63.191,42.622,-5.944,20.569
34,0,97.299,126.783,58.129,54.963,-29.484,3.166
34,1,91.601,114.209,56.283,52.965,-22.608,3.318
34,2,87.582,103.154,56.283,50.795,-15.572,5.488
34,3,85.596,92.988,56.283,48.782,-7.392,7.501
34,4,81.296,89.377,56.283,45.883,-8.081,10.4
34,5,80.905,78.819,53.965,44.882,2.086,9.083
34,6,80.454,82.866,57.128,44.899,-2.412,12.229
34,7,78.498,81.692,55.539,45.184,-3.194,10.355
34,8,79.039,87.751,54.36,43.818,-8.712,10.542
34,9,78.29,89.547,56.608,40.909,-11.257,15.699
34,10,79.337,88.216,55.736,27.944,-8.879,27.792
34,11,75.642,93.919,54.317,16.208,-18.277,38.109
35,0,101.933,126.198,57.961,55.077,-24.265,2.884
35,1,93.367,110.603,56.725,51.27,-17.236,5.455
35,2,89.696,99.795,56.725,48.674,-10.099,8.051
35,3,87.426,94.048,52.428,47.64,-6.622,4.788
35,4,85.933,94.199,52.428,49.046,-8.266,3.382
35,5,85.893,86.416,54.716,50.993,-0.523,3.723
35,6,88.147,92.852,54.045,45.616,-4.705,8.429
35,7,89.637,98.404,51.04,43.066,-8.767,7.974
35,8,89.89,95.489,49.883,42.631,-5.599,7.252
35,9,86.687,92.501,47.168,42.213,-5.814,4.955
35,10,84.639,86.43,57.318,41.422,-1.791,15.896
36,0,113.373,110.487,62.309,60.11,2.886,2.199
36,1,101.339,107.44,61.307,56.712,-6.101,4.595
36,2,94.794,104.425,55.923,53.019,-9.631,2.904
36,3,89.015,93.297,55.923,41.895,-4.282,14.028
36,4,86.119,86.208,55.923,55.79,-0.089,0.133
36,5,87.028,81.093,53.433,55.359,5.935,-1.926
36,6,83.365,83.257,60.44,53.222,0.108,7.218
36,7,80.529,77.903,55.657,50.052,2.626,5.605
36,8,76.402,79.024,48.226,46.356,-2.622,1.87
36,9,72.543,83.057,43.025,46.493,-10.514,-3.468
