archivo,marcador,frame,X (px),Y (px)
95,cadera_derecha,5,-158.386474609375,-220.366821289063
95,cadera_derecha,6,-159.512084960938,-218.990844726563
95,cadera_derecha,7,-161.387573242188,-216.989624023438
95,cadera_derecha,8,-163.637878417969,-214.863830566406
95,cadera_derecha,9,-167.386413574219,-209.990783691406
95,cadera_derecha,10,-170.38525390625,-206.991882324219
95,rodilla_derecha,0,-123.31494140625,-286.5673828125
95,rodilla_derecha,1,-115.25146484375,-282.750854492188
95,rodilla_derecha,2,-113.002319335938,-274.379516601563
95,rodilla_derecha,3,-112.752075195313,-270.630920410156
95,rodilla_derecha,4,-114.753173828125,-266.378295898438
95,rodilla_derecha,5,-117.003479003906,-259.504028320313
95,rodilla_derecha,6,-120.504089355469,-255.377197265625
95,rodilla_derecha,7,-126.629760742188,-247.875427246094
95,rodilla_derecha,8,-133.880065917969,-238.374877929688
95,rodilla_derecha,9,-142.006896972656,-227.873168945313
95,rodilla_derecha,10,-148.630920410156,-219.12451171875
95,tobillo_derecho,0,-158.551391601563,-298.187927246094
95,tobillo_derecho,1,-137.256103515625,-310.619384765625
95,tobillo_derecho,2,-116.257202148438,-323.746215820313
95,tobillo_derecho,3,-97.7623901367188,-332.244506835938
95,tobillo_derecho,4,-84.267578125,-327.371398925781
95,tobillo_derecho,5,-85.3921508789063,-316.500610351563
95,tobillo_derecho,6,-90.6286010742188,-294.498291015625
95,tobillo_derecho,7,-103.126892089844,-269.501708984375
95,tobillo_derecho,8,-115.998840332031,-250.752014160156
95,tobillo_derecho,9,-128.0,-237.499389648438
95,tobillo_derecho,10,-140.747375488281,-230.124572753906
95,tobillo_izquierdo,0,-125.530578613281,-330.337890625
95,tobillo_izquierdo,1,-126.030029296875,-329.213317871094
95,tobillo_izquierdo,2,-124.15576171875,-330.337890625
95,tobillo_izquierdo,3,-125.006958007813,-327.61474609375
95,tobillo_izquierdo,4,-125.001159667969,-327.249145507813
95,tobillo_izquierdo,5,-126.875427246094,-326.874328613281
95,tobillo_izquierdo,6,-128.0,-325.749694824219
95,tobillo_izquierdo,7,-128.250305175781,-325.749755859375
95,tobillo_izquierdo,8,-128.941345214844,-325.552429199219
95,tobillo_izquierdo,9,-129.749694824219,-324.625122070313
95,tobillo_izquierdo,10,-130.499389648438,-323.875427246094
95,rodilla_izquierda,0,-161.251403808594,-276.124572753906
95,rodilla_izquierda,1,-159.875427246094,-274.749694824219
95,rodilla_izquierda,2,-160.0,-272.376037597656
95,rodilla_izquierda,3,-159.750854492188,-271.625183105469
95,rodilla_izquierda,4,-161.000061035156,-270.750793457031
95,rodilla_izquierda,5,-162.749816894531,-269.251403808594
95,rodilla_izquierda,6,-164.625122070313,-270.0
95,rodilla_izquierda,7,-164.998840332031,-269.752014160156
95,rodilla_izquierda,8,-166.051940917969,-270.073852539063
95,rodilla_izquierda,9,-167.877685546875,-270.245666503906
95,rodilla_izquierda,10,-169.0,-270.0
95,cadera_izquierda,0,-210.787841796875,-229.959594726563
95,cadera_izquierda,1,-209.500610351563,-231.249145507813
95,cadera_izquierda,2,-207.3759765625,-233.249206542969
95,cadera_izquierda,3,-206.250305175781,-233.749694824219
95,cadera_izquierda,4,-207.0,-233.0
95,cadera_izquierda,5,-208.124572753906,-231.500549316406
95,cadera_izquierda,6,-210.124572753906,-229.125732421875
95,cadera_izquierda,7,-213.124572753906,-227.500610351563
95,cadera_izquierda,8,-217.6240234375,-223.626281738281
95,cadera_izquierda,9,-220.124572753906,-221.125732421875
95,cadera_izquierda,10,-223.124572753906,-218.3759765625
94,tobillo_derecho,0,-175.914733886719,-303.814208984375
94,tobillo_derecho,1,-156.520202636719,-314.853454589844
94,tobillo_derecho,2,-137.402587890625,-328.72314453125
94,tobillo_derecho,3,-116.410705566406,-336.220275878906
94,tobillo_derecho,4,-104.914794921875,-331.34716796875
94,tobillo_derecho,5,-105.664489746094,-316.352905273438
94,tobillo_derecho,6,-112.378295898438,-291.247924804688
94,tobillo_derecho,7,-124.874267578125,-264.127990722656
94,tobillo_derecho,8,-139.998840332031,-244.251403808594
94,rodilla_derecha,0,-139.427917480469,-289.944519042969
94,rodilla_derecha,1,-132.252563476563,-283.377197265625
94,rodilla_derecha,2,-130.128051757813,-274.380615234375
94,rodilla_derecha,3,-129.502868652344,-268.757751464844
94,rodilla_derecha,4,-133.002319335938,-266.006896972656
