archivo,frame,angulo_rodilla_kinovea,angulo_rodilla_mediapipe,angulo_pie_kinovea,angulo_pie_mediapipe,diferencia1,diferencia2
26,6,94.92,100.002,52.867,46.923,-5.082,5.944
26,7,92.991,103.985,54.656,45.34,-10.994,9.316
26,8,91.657,103.64,54.921,45.099,-11.983,9.822
26,9,89.001,98.763,59.423,47.367,-9.762,12.056
26,10,88.132,95.481,60.233,47.097,-7.349,13.136
26,11,85.373,91.448,62.937,41.293,-6.075,21.644
27,0,111.728,127.09,50.376,50.696,-15.362,-0.32
27,1,102.178,127.09,50.933,50.696,-24.912,0.237
27,2,97.178,116.443,52.261,54.52,-19.265,-2.259
27,3,93.992,107.256,50.964,51.657,-13.264,-0.693
27,4,95.049,105.121,48.409,46.18,-10.072,2.229
27,5,94.218,102.5,54.314,45.357,-8.282,8.957
27,6,93.85,96.513,50.923,46.451,-2.663,4.472
27,7,96.124,100.425,49.047,45.384,-4.301,3.663
27,8,94.889,103.197,49.362,44.053,-8.308,5.309
27,9,93.749,107.994,47.515,43.286,-14.245,4.229
27,10,90.918,101.452,45.105,41.902,-10.534,3.203
27,11,87.888,96.75,44.433,39.626,-8.862,4.807
28,0,104.38,124.106,58.035,50.791,-19.726,7.244
28,1,101.913,119.118,55.175,49.75,-17.205,5.425
28,2,99.94,112.719,55.968,49.684,-12.779,6.284
28,3,101.95,109.417,55.968,49.221,-7.467,6.747
28,4,103.424,112.665,54.017,48.315,-9.241,5.702
28,5,107.34,115.924,54.017,49.535,-8.584,4.482
28,6,106.493,118.192,53.765,44.412,-11.699,9.353
28,7,106.976,119.03,54.446,43.95,-12.054,10.496
28,8,110.357,121.877,52.472,43.595,-11.52,8.877
28,9,111.084,124.738,54.57,43.494,-13.654,11.076
28,10,113.965,125.023,54.57,42.102,-11.058,12.468
29,0,93.737,114.796,63.488,54.618,-21.059,8.87
29,1,87.819,109.113,61.402,55.927,-21.294,5.475
29,2,85.521,103.372,57.343,54.498,-17.851,2.845
29,3,81.672,98.393,57.51,49.109,-16.721,8.401
29,4,79.793,94.352,57.51,46.915,-14.559,10.595
29,5,80.389,83.313,55.389,46.86,-2.924,8.529
29,6,81.687,91.256,55.389,45.742,-9.569,9.647
29,7,82.112,89.931,53.414,45.733,-7.819,7.681
29,8,80.048,91.844,56.703,44.821,-11.796,11.882
29,9,75.942,89.535,57.167,39.573,-13.593,17.594
29,10,70.552,85.021,53.035,39.302,-14.469,13.733
29,11,65.464,82.077,52.655,38.977,-16.613,13.678
29,12,59.111,77.916,51.138,34.106,-18.805,17.032
30,0,103.337,114.13,63.358,49.595,-10.793,13.763
30,1,102.146,110.103,65.541,49.936,-7.957,15.605
30,2,102.736,112.063,62.738,48.275,-9.327,14.463
30,3,104.721,116.788,65.692,45.831,-12.067,19.861
30,4,110.214,116.104,65.692,49.595,-5.89,16.097
30,5,111.586,118.56,65.692,48.28,-6.974,17.412
30,6,112.383,124.417,65.692,47.395,-12.034,18.297
30,7,116.029,124.56,62.889,47.076,-8.531,15.813
30,8,116.196,122.188,65.848,47.054,-5.992,18.794
30,9,113.914,122.021,67.273,47.585,-8.107,19.688
31,0,103.91,117.69,63.223,51.562,-13.78,11.661
