archivo,frame,angulo_rodilla_kinovea,angulo_rodilla_mediapipe,angulo_pie_kinovea,angulo_pie_mediapipe,diferencia1,diferencia2
32,10,179.489,177.734,62.18,48.826,1.755,13.354
33,0,79.492,83.1,87.218,101.572,-3.608,-14.354
33,1,78.218,78.151,83.802,85.023,0.067,-1.221
33,2,84.672,82.427,68.558,69.331,2.245,-0.773
33,3,104.423,102.412,62.661,57.644,2.011,5.017
33,4,136.005,132.319,70.65,65.179,3.686,5.471
33,5,153.362,151.808,66.671,75.918,1.554,-9.247
33,6,170.943,170.091,76.202,84.309,0.852,-8.107
33,7,179.325,176.491,76.396,92.32,2.834,-15.924
33,8,176.048,173.144,62.569,60.864,2.904,1.705
33,9,178.799,173.851,60.438,55.558,4.948,4.88
33,10,176.769,179.617,55.721,61.277,-2.848,-5.556
34,0,86.005,90.603,82.449,86.646,-4.598,-4.197
34,1,83.709,81.483,90.567,103.456,2.226,-12.889
34,2,83.428,79.186,92.849,87.274,4.242,5.575
34,3,96.264,90.159,69.807,68.245,6.105,1.562
34,4,126.572,115.85,61.719,69.012,10.722,-7.293
34,5,148.57,143.237,80.719,76.443,5.333,4.276
34,6,169.333,160.363,80.387,78.006,8.97,2.381
34,7,176.914,175.358,78.619,81.472,1.556,-2.853
34,8,169.219,178.667,68.65,85.755,-9.448,-17.105
34,9,174.894,175.981,53.958,43.073,-1.087,10.885
34,10,178.388,177.927,60.67,45.814,0.461,14.856
35,0,77.794,83.097,78.221,104.691,-5.303,-26.47
35,1,70.22,70.057,84.492,92.852,0.163,-8.36
35,2,73.159,66.322,84.413,69.4,6.837,15.013
35,3,83.482,80.164,70.233,64.357,3.318,5.876
35,4,113.086,115.701,60.626,62.542,-2.615,-1.916
35,5,144.139,139.43,76.239,66.178,4.709,10.061
35,6,157.863,155.943,68.697,71.714,1.92,-3.017
35,7,179.13,176.383,74.422,102.139,2.747,-27.717
36,0,86.905,93.915,86.975,95.732,-7.01,-8.757
36,1,79.7,84.193,92.141,98.375,-4.493,-6.234
36,2,81.426,83.901,92.355,74.911,-2.475,17.444
36,3,93.063,97.571,75.261,63.495,-4.508,11.766
36,4,125.947,126.295,64.36,56.996,-0.348,7.364
36,5,144.879,148.195,61.806,74.084,-3.316,-12.278
36,6,163.851,161.32,69.666,72.956,2.531,-3.29
36,7,178.454,176.397,76.646,76.197,2.057,0.449
36,8,176.544,177.17,66.711,88.113,-0.626,-21.402
36,9,176.125,178.886,64.32,41.345,-2.761,22.975
36,10,178.028,177.752,68.338,38.235,0.276,30.103
37,0,89.955,99.814,95.285,97.071,-9.859,-1.786
37,1,88.694,87.276,99.104,88.223,1.418,10.881
37,2,90.561,89.996,107.953,66.513,0.565,41.44
37,3,107.049,104.8,68.455,62.336,2.249,6.119
37,4,131.949,129.742,75.606,65.641,2.207,9.965
37,5,154.828,151.942,68.436,66.766,2.886,1.67
37,6,173.933,171.338,73.499,84.294,2.595,-10.795
37,7,171.523,174.971,57.556,50.15,-3.448,7.406
37,8,165.797,167.983,62.475,56.072,-2.186,6.403
37,9,167.92,169.302,69.252,58.577,-1.382,10.675
37,10,176.186,174.819,59.098,56.532,1.367,2.566
38,0,97.546,104.198,100.603,56.398,-6.652,44.205
38,1,89.815,91.47,81.218,93.36,-1.655,-12.142
38,2,95.552,93.891,77.924,71.932,1.661,5.992
38,3,113.388,111.821,67.08,58.238,1.567,8.842
38,4,143.065,138.529,64.332,59.246,4.536,5.086
38,5,162.551,160.698,74.927,80.811,1.853,-5.884
38,6,176.828,172.247,75.383,79.087,4.581,-3.704
38,7,175.251,176.53,72.641,60.803,-1.279,11.838
38,8,174.013,178.117,57.178,53.686,-4.104,3.492
38,9,177.641,179.848,63.595,52.534,-2.207,11.061
39,0,85.147,88.84,75.989,75.125,-3.693,0.864
39,1,77.67,78.616,61.797,65.465,-0.946,-3.668
39,2,80.289,74.874,58.251,65.743,5.415,-7.492
39,3,94.906,99.383,57.563,34.331,-4.477,23.232
39,4,115.836,125.558,63.476,57.435,-9.722,6.041
39,5,151.357,147.061,86.444,50.233,4.296,36.211
39,6,161.589,163.345,88.146,84.602,-1.756,3.544
40,0,80.474,87.672,66.32,64.248,-7.198,2.072
40,1,75.583,75.402,56.148,57.207,0.181,-1.059
40,2,82.998,79.428,56.699,58.66,3.57,-1.961
40,3,103.509,107.9,58.775,44.408,-4.391,14.367
40,4,139.816,135.284,67.138,65.663,4.532,1.475
40,5,149.995,152.237,94.204,75.247,-2.242,18.957
40,6,163.843,163.904,91.059,86.759,-0.061,4.3
41,1,80.638,82.328,58.468,59.325,-1.69,-0.857
41,2,85.077,81.724,56.832,59.32,3.353,-2.488
41,3,101.909,112.875,57.353,46.586,-10.966,10.767
41,4,130.686,135.075,78.652,38.313,-4.389,40.339
41,5,148.642,146.058,106.034,74.672,2.584,31.362
41,6,166.316,163.691,95.401,79.675,2.625,15.726
42,0,83.587,86.336,63.46,59.802,-2.749,3.658
42,1,81.233,77.623,62.195,55.137,3.61,7.058
42,2,89.842,82.715,63.028,136.536,7.127,-73.508
42,3,111.915,100.465,74.585,97.572,11.45,-22.987
42,4,144.031,146.319,83.882,73.209,-2.288,10.673
43,0,80.482,85.245,57.853,64.452,-4.763,-6.599
43,1,73.131,75.382,69.514,49.25,-2.251,20.264
43,2,72.905,68.628,60.773,55.945,4.277,4.828
43,3,84.533,105.825,62.297,55.001,-21.292,7.296
43,4,110.137,140.096,63.825,71.315,-29.959,-7.49
43,5,138.256,143.643,77.686,71.17,-5.387,6.516
43,6,152.309,144.549,87.928,74.424,7.76,13.504
43,7,164.144,164.553,85.138,120.12,-0.409,-34.982
43,8,170.353,168.94,80.771,64.897,1.413,15.874
45,0,82.394,89.507,60.398,50.16,-7.113,10.238
45,1,79.648,78.739,62.348,49.634,0.909,12.714
45,2,82.341,80.253,49.826,49.34,2.088,0.486
45,3,98.68,94.18,55.334,49.62,4.5,5.714
45,4,120.952,129.624,64.884,63.867,-8.672,1.017
45,5,143.347,152.266,94.307,81.409,-8.919,12.898
45,6,158.982,166.888,89.51,92.38,-7.906,-2.87
45,7,166.339,173.437,88.519,85.055,-7.098,3.464
46,0,74.535,81.033,63.417,57.943,-6.498,5.474
46,1,74.329,72.536,60.068,47.525,1.793,12.543
46,2,79.981,74.952,55.463,47.957,5.029,7.506
46,3,102.245,101.443,52.141,47.71,0.802,4.431
46,4,127.893,140.661,56.37,59.4,-12.768,-3.03
46,5,151.299,162.247,76.901,84.999,-10.948,-8.098
46,6,160.27,169.854,81.767,98.081,-9.584,-16.314
46,7,171.208,167.168,68.967,83.517,4.04,-14.55
46,8,177.456,167.983,69.966,78.114,9.473,-8.148
46,9,176.174,167.006,59.9,62.396,9.168,-2.496
47,0,85.405,87.831,62.967,57.943,-2.426,5.024
47,1,87.456,85.717,58.027,46.638,1.739,11.389
47,2,99.528,93.546,72.368,45.227,5.982,27.141
47,3,124.707,128.949,79.208,55.004,-4.242,24.204
47,4,149.313,153.54,96.282,62.179,-4.227,34.103
47,5,158.13,167.373,73.053,97.373,-9.243,-24.32
47,6,167.095,172.367,78.525,82.885,-5.272,-4.36
47,7,176.239,175.296,64.301,54.29,0.943,10.011
48,0,90.136,94.663,62.376,56.75,-4.527,5.626
48,1,81.822,83.68,63.526,56.683,-1.858,6.843
48,2,85.863,85.735,58.831,50.377,0.128,8.454
48,3,97.972,98.943,59.826,44.258,-0.971,15.568
48,4,121.473,127.058,58.345,61.35,-5.585,-3.005
48,5,143.399,150.083,78.231,68.212,-6.684,10.019
48,6,157.481,165.183,88.852,115.199,-7.702,-26.347
48,7,172.579,174.651,75.073,89.913,-2.072,-14.84
48,8,179.096,175.193,79.549,67.866,3.903,11.683
48,9,174.595,168.19,63.811,61.409,6.405,2.402
48,10,176.91,167.606,65.598,62.469,9.304,3.129
49,0,88.475,91.128,106.829,93.356,-2.653,13.473
49,1,84.378,91.128,116.326,93.356,-6.75,22.97
49,2,82.709,82.625,93.807,87.543,0.084,6.264
49,3,91.129,94.902,96.375,80.368,-3.773,16.007
49,4,112.964,119.385,89.352,56.476,-6.421,32.876
49,5,148.975,141.34,77.855,58.343,7.635,19.512
49,6,169.481,163.684,89.516,74.441,5.797,15.075
49,7,173.347,176.931,100.672,100.763,-3.584,-0.091
49,8,171.906,169.624,119.465,78.124,2.282,41.341
49,9,175.906,168.611,123.018,85.193,7.295,37.825
49,10,178.878,172.214,109.654,89.957,6.664,19.697
49,11,176.257,176.084,80.977,71.515,0.173,9.462
50,1,87.092,96.858,108.854,97.644,-9.766,11.21
50,2,85.232,87.152,101.942,94.311,-1.92,7.631
50,3,94.126,97.05,90.416,82.62,-2.924,7.796
50,4,113.708,118.947,93.437,59.089,-5.239,34.348
50,5,143.228,151.555,83.049,64.759,-8.327,18.29
50,6,165.929,162.581,84.661,76.62,3.348,8.041
50,7,176.861,178.683,88.094,98.359,-1.822,-10.265
50,8,175.636,179.263,109.063,58.901,-3.627,50.162
50,9,176.84,173.925,91.504,54.584,2.915,36.92
50,10,178.451,170.513,88.193,56.665,7.938,31.528
50,11,175.948,172.007,71.834,49.241,3.941,22.593
50,12,175.888,179.538,53.645,48.866,-3.65,4.779
50,13,172.605,174.14,48.312,47.399,-1.535,0.913
50,14,167.284,169.4,46.412,49.462,-2.116,-3.05
50,15,158.514,158.61,45.356,52.794,-0.096,-7.438
51,0,92.894,106.324,90.794,101.587,-13.43,-10.793
51,1,89.663,103.369,105.389,79.167,-13.706,26.222
51,2,91.7,100.7,106.186,83.837,-9.0,22.349
51,3,94.75,100.369,98.409,79.124,-5.619,19.285
51,4,108.421,116.011,91.49,74.495,-7.59,16.995
51,5,134.345,141.171,80.672,64.07,-6.826,16.602
51,6,155.39,161.391,68.663,63.737,-6.001,4.926
51,7,171.82,175.271,65.485,88.406,-3.451,-22.921
51,8,179.94,178.037,80.071,70.835,1.903,9.236
51,9,179.366,175.84,70.672,54.257,3.526,16.415
51,10,174.272,175.62,66.122,52.696,-1.348,13.426
51,11,167.713,177.043,57.611,48.962,-9.33,8.649
51,12,165.995,172.923,57.595,50.888,-6.928,6.707
52,0,91.945,100.923,100.199,95.473,-8.978,4.726
52,1,93.738,95.931,103.431,91.254,-2.193,12.177
52,2,91.006,93.5,89.745,85.251,-2.494,4.494
52,3,106.481,112.876,82.279,75.874,-6.395,6.405
52,4,129.051,128.804,76.147,57.104,0.247,19.043
52,5,154.21,147.277,61.428,70.862,6.933,-9.434
52,6,166.742,165.659,92.071,90.123,1.083,1.948
52,7,177.55,177.0,91.764,136.754,0.55,-44.99
52,8,171.481,175.905,93.074,100.875,-4.424,-7.801
52,9,174.709,172.895,81.367,63.024,1.814,18.343
52,10,179.571,173.706,88.409,58.542,5.865,29.867
53,0,94.956,99.142,96.114,94.898,-4.186,1.216
53,1,102.593,101.761,94.819,92.678,0.832,2.141
53,2,110.635,115.226,88.187,72.398,-4.591,15.789
53,3,132.29,140.13,97.729,62.843,-7.84,34.886
53,4,159.102,157.155,84.487,76.632,1.947,7.855
53,5,176.871,172.992,66.89,137.292,3.879,-70.402
53,6,173.911,178.041,69.816,41.882,-4.13,27.934
53,7,175.2,169.635,82.701,73.083,5.565,9.618
53,8,179.223,176.695,71.259,70.879,2.528,0.38
53,9,176.042,172.84,92.865,77.772,3.202,15.093
54,0,96.417,108.458,93.914,86.368,-12.041,7.546
54,1,93.146,100.591,96.565,83.821,-7.445,12.744
54,2,92.088,99.031,94.665,82.911,-6.943,11.754
54,3,100.004,105.009,85.923,86.906,-5.005,-0.983
54,4,117.101,123.446,76.852,59.289,-6.345,17.563
54,5,141.775,149.496,102.909,73.101,-7.721,29.808
54,6,163.558,157.771,82.387,63.163,5.787,19.224
54,7,174.949,173.323,81.066,106.845,1.626,-25.779
54,8,175.406,177.57,98.341,75.508,-2.164,22.833
54,9,176.111,172.603,91.647,68.28,3.508,23.367
54,10,179.383,170.586,91.694,62.203,8.797,29.491
55,0,90.133,97.417,86.227,88.313,-7.284,-2.086
55,1,87.013,98.735,88.388,78.181,-11.722,10.207
55,2,91.692,96.311,97.467,82.305,-4.619,15.162
55,3,94.61,102.88,93.215,84.783,-8.27,8.432
55,4,114.135,118.23,100.416,59.678,-4.095,40.738
55,5,144.518,150.672,91.706,69.772,-6.154,21.934
55,6,162.034,158.732,99.507,58.599,3.302,40.908
55,7,179.787,179.031,80.586,92.309,0.756,-11.723
55,8,178.826,173.713,89.082,72.304,5.113,16.778
55,9,177.133,171.68,70.655,48.879,5.453,21.776
56,0,106.72,108.955,91.42,86.813,-2.235,4.607
56,1,111.238,115.126,116.208,97.304,-3.888,18.904
56,2,123.289,121.389,104.584,84.933,1.9,19.651
56,3,139.393,141.197,102.259,65.611,-1.804,36.648
56,4,159.189,160.471,86.495,77.92,-1.282,8.575
56,5,175.148,165.493,53.185,137.868,9.655,-84.683
56,6,176.057,175.831,78.185,66.998,0.226,11.187
56,7,171.716,169.168,112.875,107.932,2.548,4.943
56,8,175.799,175.733,101.439,92.235,0.066,9.204
57,0,97.673,106.069,75.754,89.087,-8.396,-13.333
57,1,102.599,105.113,98.13,86.313,-2.514,11.817
57,2,100.583,103.546,107.736,87.947,-2.963,19.789
57,3,111.387,113.329,83.698,96.309,-1.942,-12.611
57,4,123.82,129.867,92.454,56.903,-6.047,35.551
57,5,148.558,152.25,92.461,69.261,-3.692,23.2
57,6,169.214,167.022,75.491,108.143,2.192,-32.652
57,7,173.886,177.667,79.785,92.748,-3.781,-12.963
57,8,176.109,171.396,93.348,55.795,4.713,37.553
58,0,81.811,91.122,88.607,69.033,-9.311,19.574
58,1,78.267,85.999,95.519,85.289,-7.732,10.23
58,2,81.478,83.158,89.973,91.083,-1.68,-1.11
58,3,86.69,87.298,81.284,73.49,-0.608,7.794
58,4,104.186,106.797,85.884,70.627,-2.611,15.257
58,5,133.224,140.753,81.801,58.597,-7.529,23.204
58,6,157.156,156.674,92.618,59.223,0.482,33.395
58,7,172.737,173.849,96.215,82.898,-1.112,13.317
58,8,177.567,174.128,89.016,85.509,3.439,3.507
58,9,178.376,177.757,72.239,48.737,0.619,23.502
58,10,179.188,174.084,66.357,50.9,5.104,15.457
58,11,176.431,177.154,68.725,51.96,-0.723,16.765
58,12,174.081,173.595,65.395,56.674,0.486,8.721
58,13,172.324,174.788,64.054,63.082,-2.464,0.972
58,14,169.499,172.614,67.044,55.267,-3.115,11.777
58,15,165.398,170.787,64.527,55.489,-5.389,9.038
58,16,161.961,167.465,56.675,56.653,-5.504,0.022
58,17,163.367,166.017,55.903,54.794,-2.65,1.109
58,18,161.378,165.273,57.746,55.798,-3.895,1.948
58,19,159.029,164.158,62.849,55.228,-5.129,7.621
59,0,90.478,96.984,88.112,90.113,-6.506,-2.001
