archivo,frame,angulo_rodilla_kinovea,angulo_rodilla_mediapipe,diferencia1,angulo_pie_kinovea,angulo_pie_mediapipe,diferencia2
24,0,75.78928843448912,75.91889099260577,-0.129602558,76.87144805695237,78.61166472719854,-1.74021667
24,1,74.34234029,68.66254879924678,5.679791495,78.0439989,76.38515550256797,1.658843395
24,2,82.90434639983138,79.03113264039898,3.873213759,66.10833007913477,59.80615947590576,6.302170603
24,3,106.3704436666573,105.58914068712554,0.78130298,56.93437440150641,60.05868537323263,-3.124310972
24,4,139.80897168217987,136.2208004563324,3.588171226,65.46447638,74.23282724861629,-8.768350866
24,5,155.8210961,155.9770597013712,-0.155963596,80.79085212,79.26510582,1.525746307
24,6,173.05665051521135,170.24913891092723,2.807511604,74.59491893902924,68.60457162428574,5.990347315
24,7,176.06321159215517,178.63441416381448,-2.571202572,68.70225222340842,42.16195009,26.54030214
25,0,76.01391856040607,78.00266908,-1.988750523,80.11429908787285,92.33733284868643,-12.22303376
25,1,75.19323273622321,73.15733155295214,2.035901183,85.23878225326101,71.08806486102455,14.15071739
25,2,78.83720613738632,78.07856973323695,0.758636404,82.97929633284176,66.93153606,16.04776027
25,3,99.37544493459934,93.72339353019277,5.652051404,58.169366175140354,57.50234191590843,0.667024259
25,4,124.73456347421794,123.79869928105425,0.935864193,71.14375026687941,58.419914244930006,12.72383602
25,5,146.38949393752523,144.3885079700929,2.000985967,77.70676176180744,67.53707753694462,10.16968422
25,6,163.0818594450843,163.46851927215533,-0.386659827,85.54190508,73.39419912641978,12.14770596
25,7,176.91890362199393,171.1762887703383,5.742614852,73.14215989179851,121.50464856850537,-48.36248868
25,8,175.5120507735751,172.20667781818446,3.305372955,62.196712842598934,55.03240109355039,7.164311749
25,9,173.67084189508736,167.50649346781873,6.164348427,62.63125312893558,54.51369575835241,8.117557371
26,0,76.50520849764725,83.06010004,-6.554891542,84.07679692,90.42841987,-6.351622949
26,1,68.84676352550608,69.58866871024122,-0.741905185,81.44362711149876,75.97717038543313,5.466456726
26,2,68.82300609605106,65.26709403885906,3.555912057,78.51693114032032,74.10514459,4.411786551
26,3,78.82356659,74.35340352727513,4.470163063,76.45163950467733,60.728728114567076,15.72291139
26,4,108.47487007315999,103.47652260219243,4.998347471,56.79611451,57.83015135678197,-1.03403685
26,5,136.83299902688262,133.87655433621683,2.956444691,74.64379791714966,75.28011325450511,-0.636315337
26,6,150.1588191668693,152.58835257021468,-2.429533403,79.75336492252359,81.77234652454563,-2.018981602
26,7,172.21411808445245,171.03554695873694,1.178571126,64.97690745705766,66.55108936277772,-1.574181906
27,0,84.92887499070748,90.89900765540901,-5.970132665,72.89717672978847,103.94719749108513,-31.05002076
27,1,83.30357578459244,83.45338516,-0.149809372,99.51459284313412,91.70633905754525,7.808253786
27,2,83.77371048,80.72190234336908,3.051808137,85.35833363964396,80.84889003592411,4.509443604
27,3,95.87043970002978,90.26724357458895,5.603196125,74.06828103426378,66.72965221611295,7.338628818
27,4,122.07206011994502,114.93309962015395,7.1389605,61.07670132306339,54.80932232,6.267379005
27,5,148.54565750661018,138.5211108919658,10.02454661,79.67201887705883,73.44304768,6.228971199
27,6,167.5586523505966,157.3466514213854,10.21200093,74.46793634655101,76.44644794484198,-1.978511598
27,7,171.97660253445142,176.5334405574527,-4.556838023,77.06213343490855,72.92374056,4.138392874
27,8,167.16972290621703,176.63073954282856,-9.461016637,60.11692775492116,46.418717173582074,13.69821058
27,9,173.51319444816798,173.71637174017076,-0.203177292,61.40808566,47.146863986865824,14.26122167
27,10,177.40260152324035,177.0504676,0.352133967,62.23272484,55.562455299348905,6.670269543
28,0,81.91415266806229,82.53264563823402,-0.61849297,87.70939791,89.72072172389547,-2.011323816
28,1,80.48037615059985,77.93522912666656,2.545147024,83.04156955281168,79.6182234,3.423346157
28,2,90.66666389697924,87.10537959251562,3.561284304,79.12759343284304,68.63091628528933,10.49667715
28,3,117.74016345746466,116.93927903038873,0.800884427,62.56580822,56.243507486887424,6.322300735
28,4,145.18117400685887,144.32021523799304,0.860958769,74.45033652654413,80.62305051758362,-6.172713991
28,5,159.67399547405378,163.65141265224784,-3.977417178,76.93938433920633,103.38615664694039,-26.44677231
28,6,177.40152246459874,175.84892226925749,1.552600195,77.54320105595914,139.38475249635192,-61.84155144
28,7,173.97038457481824,168.0430643957469,5.927320179,69.63433926606167,49.537481223243574,20.09685804
28,8,170.3780010151497,164.31001436003356,6.067986655,55.92940266885354,57.14632744146561,-1.216924773
29,0,83.89486963414166,90.25059161308432,-6.355721979,87.66990460140163,93.32527336061077,-5.655368759
29,1,76.91047852917251,76.90837508999972,0.002103439,90.96412911409743,85.13426838705222,5.829860727
29,2,77.12165674901202,72.65979750510292,4.461859244,83.84189233129139,83.81987549570498,0.022016836
29,3,86.08909935337117,81.58195781,4.507141544,74.28236389342285,67.86119945782843,6.421164436
29,4,115.39769265792229,108.51394679983642,6.883745858,60.900908397426264,56.48470314911062,4.416205248
29,5,144.0008785076827,136.98606434866934,7.014814159,73.90927148199926,78.93854133484842,-5.029269853
29,6,156.05282107238233,153.92491506200668,2.12790601,79.22785656791856,67.24082653957818,11.98703003
29,7,172.93608462845413,168.7116277626398,4.224456866,74.03709361005832,76.40836835860136,-2.371274749
29,8,179.20158710504975,174.91310448121888,4.288482624,68.27685407697653,70.13191927607487,-1.855065199
31,0,84.56933624116208,91.09671204,-6.527375797,80.17155858688065,94.70665516056809,-14.53509657
31,1,80.58495834869242,82.16480795234888,-1.579849604,88.24759571,89.55730054327566,-1.309704837
31,2,88.15164702052566,85.11759368336729,3.034053337,90.55619243556876,74.49468927455528,16.06150316
31,3,102.47751751850606,98.86510499034786,3.612412528,61.64126307220988,59.441326689984045,2.199936382
31,4,130.78286294975155,128.17922429121944,2.603638659,56.08720904007667,64.59198236538627,-8.504773325
31,5,153.79763010868535,147.1963675945141,6.601262514,65.37539768918955,69.93739239,-4.561994701
31,6,172.69589722118752,164.4564624604811,8.239434761,71.89541998939404,84.67990244109474,-12.78448245
31,7,177.6246830348105,175.34377141441422,2.28091162,68.05529327530317,68.98667627151376,-0.931382996
31,8,172.75992152530375,179.18190959495882,-6.42198807,64.86284454538118,51.58057759590208,13.28226695
32,0,86.91302594579649,92.18354764,-5.270521696,83.75799138418165,86.56187397748994,-2.803882593
32,1,81.02195539238886,83.77084440126696,-2.748889009,86.74586192781652,91.43717229264709,-4.691310365
32,2,87.22251765,84.80137859897194,2.42113905,86.11907561789492,93.66132517384662,-7.542249556
32,3,93.69997093124528,91.04978069341892,2.650190238,87.36921919160605,71.04601867508397,16.32320052
32,4,118.7703235884018,117.18425609586563,1.586067493,70.53644434526107,59.419288418277766,11.11715593
32,5,147.13620633861038,143.68882496572226,3.447381373,77.99795166177485,71.65626563648755,6.341686025
32,6,159.06176153832408,158.29632993016853,0.765431608,72.04545513245472,79.78499896,-7.739543832
32,7,179.52000158932563,175.1737249953411,4.346276594,77.29399276282102,77.32790073087607,-0.033907968
32,8,172.70773375876854,176.39098663634948,-3.683252878,66.37454680278152,48.00750737374251,18.36703943
32,9,174.58618363391705,173.11341914552435,1.472764488,58.79874145,40.75406875006983,18.0446727
32,10,179.48907563961197,177.7340942940286,1.754981346,62.18026440490803,48.82619213146386,13.35407227
33,0,79.49157502,83.10006849009811,-3.608493474,87.21753667354734,101.57230218944892,-14.35476552
33,1,78.21754681534946,78.15140345,0.066143363,83.80190338043606,85.02342530934378,-1.221521929
33,2,84.67175014655517,82.42723431176462,2.244515835,68.55789826446617,69.33094404972663,-0.773045785
33,3,104.42292364842785,102.41241541210726,2.010508236,62.66065864770187,57.64393865,5.016719995
33,4,136.00523335353463,132.3193001154988,3.685933238,70.65024600334903,65.17896345894836,5.471282544
33,5,153.3621991407801,151.80787140485236,1.554327736,66.67093938825899,75.91832382029877,-9.247384432
33,6,170.94262758290196,170.0906673289118,0.851960254,76.20152675841977,84.30941377070565,-8.107887012
33,7,179.324674,176.4906935001955,2.83398053,76.39564184102646,92.32022347,-15.92458163
33,8,176.04784539238622,173.14399658169395,2.903848811,62.56909854653729,60.86372021156142,1.705378335
33,9,178.79942866794187,173.8512417091065,4.948186959,60.43757895728996,55.55754850603821,4.880030451
33,10,176.76907763157695,179.6174891088223,-2.848411477,55.72072020891547,61.27738393078089,-5.556663722
34,0,86.00485705025062,90.60262663876999,-4.597769589,82.44894367477957,86.64596989203666,-4.197026217
34,1,83.70869760603938,81.48278095,2.225916653,90.56656868066509,103.4561206171316,-12.88955194
34,2,83.42781622975835,79.18630413201842,4.241512098,92.84899315844848,87.27390599318753,5.575087165
34,3,96.26350937,90.15892631668626,6.104583058,69.80664490750726,68.24511298,1.561531927
34,4,126.57156530590855,115.85031588675159,10.72124942,61.719213402254276,69.01208728782342,-7.292873886
34,5,148.56959895125144,143.23683386070212,5.332765091,80.71888662862604,76.44310094687651,4.275785682
34,6,169.33301274483927,160.36313876686899,8.969873978,80.38729037632807,78.00581270452267,2.381477672
34,7,176.91388617156926,175.3584668632939,1.555419308,78.61945921540914,81.47186994615284,-2.852410731
34,8,169.21911588450766,178.66723239522753,-9.448116511,68.65005260750002,85.75472656,-17.10467395
34,9,174.89413358815935,175.9805748624965,-1.086441274,53.95812538476924,43.073062717852295,10.88506267
34,10,178.3882726180556,177.92722611942835,0.461046499,60.67040528093136,45.81399259294338,14.85641269
35,0,77.79439285,83.09731329526029,-5.302920446,78.22124202149593,104.69081480578174,-26.46957278
35,1,70.22017922866985,70.05718098257928,0.162998246,84.49236044530842,92.85182843252011,-8.359467987
35,2,73.15858502885347,66.32175288558497,6.836832143,84.41318168498609,69.4002583,15.01292339
35,3,83.48246884749948,80.16407979246544,3.318389055,70.23344269818121,64.35676883505668,5.876673863
35,4,113.08618839114625,115.70090044285985,-2.614712052,60.62555358544664,62.54197490995222,-1.916421325
35,5,144.13912044469106,139.42987018312144,4.709250262,76.23921643513697,66.17816085956805,10.06105558
